0;1;2;3;4;5;6;7;8;9;10
1;0.99;0.96;0.91;0.84;0.75;0.64;0.51;0.36;0.19;0
0.999988;0.973122;0.933305;0.880005;0.80844;0.717133;0.609379;0.482353;0.338234;0.183098;0.0199987
0.99995;0.96181;0.913512;0.855171;0.781148;0.689525;0.584073;0.462014;0.326521;0.185025;0.0399893
0.999888;0.953373;0.898146;0.83508;0.758706;0.667164;0.564405;0.447863;0.320985;0.191182;0.059964
0.9998;0.946806;0.886047;0.819069;0.740828;0.649707;0.549808;0.438671;0.31968;0.199867;0.0799147
0.999688;0.941646;0.876552;0.806529;0.726982;0.636579;0.539551;0.433462;0.321514;0.210301;0.0998334
0.99955;0.937617;0.869206;0.796929;0.716604;0.627163;0.53294;0.431485;0.325793;0.222047;0.119712
0.999388;0.934523;0.863657;0.789814;0.709167;0.620882;0.529371;0.432156;0.332031;0.23482;0.139543
0.9992;0.932208;0.859617;0.784789;0.704206;0.617232;0.528334;0.435005;0.339859;0.248412;0.159318
0.998988;0.930546;0.85684;0.781518;0.701322;0.61578;0.529402;0.439653;0.348989;0.262663;0.17903
0.99875;0.929427;0.85512;0.779716;0.700175;0.616162;0.532219;0.445786;0.359185;0.277444;0.198669
0.998488;0.92876;0.854283;0.779139;0.700475;0.618071;0.536487;0.453146;0.370255;0.292648;0.21823
0.998201;0.928466;0.854181;0.779584;0.701981;0.621248;0.541957;0.461518;0.382038;0.308188;0.237703
0.997888;0.928482;0.854689;0.780877;0.704489;0.625477;0.548422;0.470722;0.3944;0.323988;0.257081
0.997551;0.928752;0.855702;0.782874;0.707826;0.630575;0.555705;0.480607;0.407231;0.339986;0.276356
0.997189;0.929229;0.857131;0.785453;0.711848;0.636391;0.563661;0.491046;0.420434;0.35613;0.29552
0.996802;0.929874;0.858902;0.788511;0.716435;0.642796;0.572167;0.501934;0.433931;0.372372;0.314567
0.99639;0.930655;0.860953;0.791961;0.721483;0.649681;0.581117;0.513179;0.447654;0.388674;0.333487
0.995953;0.931544;0.863231;0.79573;0.726908;0.656956;0.590425;0.524706;0.461545;0.405002;0.352274
0.995491;0.932518;0.865692;0.799759;0.732637;0.664544;0.600018;0.536451;0.475555;0.421326;0.37092
0.995004;0.933556;0.868298;0.803994;0.738609;0.67238;0.609831;0.54836;0.489643;0.437622;0.389418
0.994493;0.934644;0.871018;0.808393;0.744772;0.68041;0.619813;0.560384;0.503772;0.453866;0.40776
